,FB,AMZN,AAPL,NFLX,GOOGL,BTC
1/5/2015,77.73999786,296.9299927,102.6730499,47.04142761,500.7200012,272.9486
1/12/2015,75.18000031,290.7399902,97.15485382,48.19142914,510.4599915,267.0873
1/19/2015,77.83000183,312.3900146,103.5621948,62.49428558,541.9500122,213.9783
1/26/2015,75.91000366,354.5299988,107.3937683,63.11428452,537.5499878,271.9491
2/2/2015,74.47000122,374.2799988,109.0162048,63.47999954,533.8800049,237.5409
2/9/2015,75.73999786,381.8299866,116.9465866,66.58571625,551.1599731,220.1743
2/16/2015,79.90000153,383.6600037,119.1735992,68.31428528,541.7999878,233.5618
2/23/2015,78.97000122,380.1600037,118.2165375,67.84428406,562.6300049,238.0845
3/2/2015,80.01000214,380.0899963,116.5048447,64.87428284,572.9000244,271.3525
3/9/2015,78.05000305,370.5799866,113.7348557,62.62857056,553,288.5161
3/16/2015,83.80000305,378.4899902,115.8606796,61.18571472,564.9500122,290.3763
3/23/2015,83.30000305,370.5599976,113.4219971,59.25285721,557.5499878,265.9432
3/30/2015,81.55999756,372.25,115.3269119,59.15428543,541.3099976,246.852
4/6/2015,82.04000092,382.6499939,116.9649887,64.93856812,548.539978,254.5187
4/13/2015,80.77999878,375.5599976,114.8023682,81.65000153,532.7399902,223.4056
4/20/2015,81.52999878,445.1000061,119.8914108,79.77143097,573.6599731,224.3076
4/27/2015,78.98999786,422.8699951,118.6674576,79.57571411,551.1599731,228.4994
5/4/2015,78.51000214,433.6900024,117.4435196,82.08571625,548.9500122,238.7688
5/11/2015,80.41999817,426,118.9968109,87.60713959,546.4899902,241.8539
5/18/2015,80.54000092,427.6300049,122.4806976,88.83856964,554.5200195,232.8655
5/25/2015,79.19000244,429.230011,120.3922119,89.15142822,545.3200073,237.4879
6/1/2015,82.13999939,426.9500122,118.88591,90.45999908,549.5300293,223.3086
6/8/2015,81.52999878,429.9200134,117.5182419,94.41857147,547.4699707,228.6452
6/15/2015,82.51000214,434.9200134,116.9915085,93.87142944,557.5200195,237.3096
6/22/2015,88.01000214,438.1000061,117.1301117,93.08856964,553.0599976,246.77
6/29/2015,87.29000092,437.7099915,116.8436279,94.04428864,547.3400269,256.4875
7/6/2015,87.94999695,443.5100098,113.9234695,97.22856903,556.1099854,268.4935
7/13/2015,94.97000122,483.0100098,119.7822876,114.7699966,699.6199951,290.8811
7/20/2015,96.94999695,529.4199829,115.0508881,109.3399963,654.7700195,278.4139
7/27/2015,94.01000214,536.1500244,112.09375,114.3099976,657.5,292.7306
8/3/2015,94.30000305,522.6199951,106.7524185,123.5199966,664.3900146,280.4796
8/10/2015,94.41999817,531.5200195,107.6440735,123.3899994,689.3699951,263.7615
8/17/2015,86.05999756,494.4700012,98.17554474,103.9599991,644.0300293,256.984
8/24/2015,91.01000214,518.0100098,105.1655579,117.6299973,659.6900024,209.1322
8/31/2015,88.26000214,499,101.4338531,98.79000092,628.960022,230.0173
9/7/2015,92.05000305,529.4400024,106.0195847,97.51000214,655.2999878,240.0202
9/14/2015,94.40000153,540.2600098,105.3140869,102.6200027,660.9199829,230.2406
9/21/2015,92.76999664,524.25,106.4837265,102.2399979,640.1500244,226.6056
9/28/2015,92.06999969,532.539978,102.4642487,106.1100006,656.9899902,239.3428
10/5/2015,93.23999786,539.7999878,104.0794754,113.3300018,671.2399902,240.5872
10/12/2015,97.54000092,570.7600098,103.0769196,98.98999786,695.3200073,245.5856
10/19/2015,102.1900024,599.0300293,110.5403442,100.0400009,719.3300171,264.4158
10/26/2015,101.9700012,625.9000244,110.9302368,108.3799973,737.3900146,286.1325
11/2/2015,107.0999985,659.3699951,112.3783417,114.0599976,761.5999756,359.3523
11/9/2015,103.9499969,642.3499756,104.7300873,103.6500015,740.0700073,380.043
11/16/2015,107.3199997,668.4500122,111.2186127,123.8399963,777,331.59
11/23/2015,105.4499969,673.2600098,109.8295364,125.4400024,771.9699707,323.257
11/30/2015,106.1800003,672.6400146,110.9669037,130.9299927,779.210022,376.907
12/7/2015,102.1200027,640.1500244,105.5131683,118.9100037,750.4199829,395.865
12/14/2015,104.0400009,664.1400146,98.84751892,118.0199966,756.8499756,443.839
12/21/2015,105.0199966,662.789978,100.7120361,117.3300018,765.8400269,437.761
12/28/2015,104.6600037,675.8900146,98.12966919,114.3799973,778.0100098,421.265
1/4/2016,97.33000183,607.0499878,90.39190674,111.3899994,730.9099731,433.493
1/11/2016,94.97000122,570.1799927,90.55041504,104.0400009,710.4899902,448.385
1/18/2016,97.94000244,596.3800049,94.54981232,100.7200012,745.460022,385.844
1/25/2016,112.2099991,587,90.74617767,91.83999634,761.3499756,390.663
2/1/2016,104.0699997,502.1300049,87.6510849,82.79000092,703.7600098,371.248
2/8/2016,102.0100021,507.0799866,88.09857178,87.40000153,706.8900146,371.101
2/15/2016,104.5699997,534.9000244,90.02007294,89.23000336,722.1099854,399.485
2/22/2016,107.9199982,555.2299805,90.8355484,94.79000092,724.8599854,438.072
2/29/2016,108.3899994,575.1400146,96.55318451,101.5800018,730.2199707,436.608
3/7/2016,109.4100037,569.6099854,95.85019684,97.66000366,744.8699951,412.982
3/14/2016,111.4499969,552.0800171,99.28077698,101.1200027,755.4099731,415.091
3/21/2016,113.0500031,582.9500122,99.04645538,98.36000061,754.8400269,411.423
3/28/2016,116.0599976,598.5,103.095665,105.6999969,769.6699829,422.756
4/4/2016,110.6299973,594.5999756,101.8490448,103.8099976,759.4699707,419.416
4/11/2016,109.6399994,625.8900146,102.964447,111.5100021,780,422.99
4/18/2016,110.5599976,620.5,99.05583191,95.90000153,737.7700195,429.054
4/25/2016,117.5800018,659.5900269,87.86423492,90.02999878,707.8800049,462.51
5/2/2016,119.4899979,673.9500122,86.9081955,90.83999634,725.1799927,444.513
5/9/2016,119.8099976,709.9199829,85.36265564,87.87999725,724.8300171,461.491
5/16/2016,117.3499985,702.7999878,89.79486847,92.48999786,721.710022,453.41
5/23/2016,119.3799973,712.2399902,94.63259888,103.3000031,747.5999756,443.734
5/30/2016,118.4700012,725.539978,92.34104919,99.58999634,735.8599854,532.586
6/6/2016,116.6200027,717.9099731,93.19921112,93.75,733.1900024,585.531
6/13/2016,113.0199966,706.3900146,89.89860535,94.44999695,704.25,705.619
6/20/2016,112.0800018,698.960022,88.07858276,88.44000244,685.2000122,727.949
6/27/2016,114.1900024,725.6799927,90.42669678,96.66999817,710.25,658.399
7/4/2016,117.2399979,745.8099976,91.17170715,97.05999756,717.7800293,681.63
7/11/2016,116.8600006,735.4400024,93.15206146,98.38999939,735.6300049,649.027
7/18/2016,121,744.8599854,93.03889465,85.88999939,759.2800293,673.594
7/25/2016,123.9400024,758.8099976,98.27268219,91.25,791.3400269,655.135
8/1/2016,125.1500015,765.9799805,101.3563766,97.02999878,806.9299927,607.374
8/8/2016,124.8799973,772.5599976,102.5691376,96.58999634,807.0499878,590.6225
8/15/2016,123.5599976,757.3099976,103.6879349,95.87000275,799.6500244,567.2025
8/22/2016,124.9599991,769,101.3934326,97.58000183,793.2199707,584.7325
8/29/2016,126.5100021,772.4400024,102.1424789,97.37999725,796.8699951,572.3613
9/5/2016,127.0999985,760.1400146,97.78105927,96.5,788.4799805,606.0275
9/12/2016,129.0700073,778.5200195,108.9595642,99.48000336,797.9699707,606.3075
9/19/2016,127.9599991,805.75,106.8641739,95.94000244,814.960022,608.5275
9/26/2016,128.2700043,837.3099976,107.186554,98.55000305,804.0599976,606.8125
10/3/2016,128.9900055,839.4299927,108.1441574,104.8199997,800.710022,612.3375
10/10/2016,127.8799973,822.960022,111.5289841,101.4700012,804.5999756,617.4225
10/17/2016,132.0700073,818.9899902,110.5524216,127.5,824.0599976,636.92
10/24/2016,131.2899933,776.3200073,107.821785,126.5699997,819.5599976,648.3988
10/31/2016,120.75,755.0499878,103.1948929,122.0299988,781.0999756,697.3688
11/7/2016,119.0199966,739.0100098,103.3340073,114.7799988,771.75,704.0188
11/14/2016,117.0199966,760.1599731,104.8874054,115.2099991,775.9699707,706.395
11/21/2016,120.3799973,780.3699951,106.536087,117.4100037,780.2299805,736.7163
11/28/2016,115.4000015,740.3400269,104.7349014,120.8099976,764.460022,731.7463
12/5/2016,119.6800003,768.6599731,108.5945663,122.8799973,809.4500122,750.7088
12/12/2016,119.8700027,757.7700195,110.5196304,124.2200012,809.8400269,777.9113
12/19/2016,117.2699966,760.5900269,111.0437775,125.5899963,807.7999878,790.1563
12/26/2016,115.0500031,749.8699951,110.3766785,123.8000031,792.4500122,902.5538
1/2/2017,123.4100037,795.9899902,112.3684692,131.0700073,825.210022,1018.05
1/9/2017,128.3399963,817.1400146,113.445343,133.6999969,830.9400024,899.35
1/16/2017,127.0400009,808.3300171,114.3602371,138.6000061,828.1699829,830.2638
1/23/2017,132.1799927,835.7700195,116.2185822,142.4499969,845.0300293,912.6875
1/30/2017,130.9799957,810.2000122,123.0134964,140.25,820.1300049,920.2413
2/6/2017,134.1900024,827.460022,125.910614,144.8200073,834.8499756,1024.6125
2/13/2017,133.5299988,845.0700073,129.9022064,142.2200012,846.5499878,996.8575
2/20/2017,135.4400024,845.2399902,130.8019257,143.25,847.8099976,1083.2413
2/27/2017,137.1699982,849.8800049,133.788147,139.1399994,849.0800171,1194.278
3/6/2017,138.7899933,852.460022,133.1755981,140.8899994,861.4099731,1280.868
3/13/2017,139.8399963,852.3099976,133.9891663,145.1100006,872.3699951,1243.242
3/20/2017,140.3399963,845.6099854,134.6112823,142.0200043,835.1400146,1041.343
3/27/2017,142.0500031,886.539978,137.5018463,147.8099976,847.7999878,1040.491
4/3/2017,140.7799988,894.8800049,137.1955566,143.1100006,842.0999756,1147.631
4/10/2017,139.3899994,884.6699829,135.0037231,142.9199982,840.1799927,1213.339
4/17/2017,143.6799927,898.5300293,136.1714325,142.8699951,858.9500122,1203.731
4/24/2017,150.25,924.9899902,137.4922638,152.1999969,924.5200195,1248.325
5/1/2017,150.2400055,934.1500244,142.5746307,156.6000061,950.2800293,1402.0838
5/8/2017,150.3300018,961.3499756,149.4085693,160.8099976,955.1400146,1639.3225
5/15/2017,148.0599976,959.8400269,147.1035461,157.0200043,954.6500244,1697.3788
5/22/2017,152.1300049,995.7800293,147.6322021,162.4299927,993.2700195,2139.0275
5/29/2017,153.6100006,1006.72998,149.4005737,165.1799927,996.1199951,2289.87
6/5/2017,149.6000061,978.3099976,143.1823425,158.0299988,970.1199951,2736.595
6/12/2017,150.6399994,987.710022,136.73349,152.3800049,958.6199951,2682.595
6/19/2017,155.0700073,1003.73999,140.5874176,158.0200043,986.0900269,2641.665
6/26/2017,150.9799957,968,138.4153748,149.4100037,929.6799927,2485.3588
7/3/2017,151.4400024,978.7600098,138.5691528,150.1799927,940.8099976,2581.0663
7/10/2017,159.9700012,1001.809998,143.2400208,161.1199951,976.9099731,2371.96
7/17/2017,164.4299927,1025.670044,144.4221344,188.5399933,993.8400269,2244.265
7/24/2017,172.4499969,1020.039978,143.6821136,184.0399933,958.3300171,2779.0438
7/31/2017,169.6199951,987.5800171,150.3039856,180.2700043,945.789978,2873.8325
8/7/2017,168.0800018,967.9899902,151.351593,171.3999939,930.0900269,3431.9688
8/14/2017,167.4100037,958.4699707,151.9652405,166.5399933,926.1799927,4382.7413
8/21/2017,166.3200073,945.2600098,154.2422943,165.9499969,930.5,4054.9425
8/28/2017,172.0200043,978.25,158.2850647,174.7400055,951.9899902,4439.6588
9/4/2017,170.9499969,965.9000244,153.0555267,176.4199982,941.4099731,4319.7213
9/11/2017,171.6399994,986.789978,154.2615967,182.3500061,935.289978,4188.845
9/18/2017,170.5399933,955.0999756,146.5523529,187.3500061,943.2600098,4067.0775
9/25/2017,170.8699951,961.3499756,148.7039795,181.3500061,973.7199707,3927.4988
10/2/2017,172.2299957,989.5800171,149.842514,198.0200043,993.6400146,4404.0975
10/9/2017,173.7400055,1002.940002,151.4731598,199.4900055,1007.869995,4772.975
10/16/2017,174.9799957,982.9099731,150.75914,194.1600037,1005.070007,5754.2213
10/23/2017,177.8800049,1100.949951,157.3201599,199.5399933,1033.670044,5895.2988
10/30/2017,178.9199982,1111.599976,166.4380951,200.0099945,1049.98999,6121.8
11/6/2017,178.4600067,1125.349976,168.5318298,192.0200043,1044.150024,6958.2113
11/13/2017,179,1129.880005,164.760849,193.1999969,1035.890015,6517.6763
11/20/2017,182.7799988,1186,169.4281921,195.75,1056.52002,8238.2025
11/27/2017,175.1000061,1162.349976,165.6323395,186.8200073,1025.069946,9739.055
12/4/2017,179,1162,164.0055389,188.5399933,1049.380005,11616.855
12/11/2017,180.1799927,1179.140015,168.4598694,190.1199951,1072,16699.6775
12/18/2017,177.1999969,1168.359985,169.4669189,189.9400024,1068.859985,18960.5225
12/25/2017,176.4600067,1169.469971,163.8699951,191.9600067,1053.400024,13917.0275
1/1/2018,186.8500061,1229.140015,169.4572144,209.9900055,1110.290039,13412.44
1/8/2018,179.3699951,1305.199951,171.4810638,221.2299957,1130.650024,14970.3575
1/15/2018,181.2899933,1294.579956,172.807663,220.4600067,1143.5,13585.9013
1/22/2018,190,1402.050049,166.0777588,274.6000061,1187.560059,10772.15
1/29/2018,190.2799988,1429.949951,155.4165192,267.4299927,1119.199951,11158.3938
2/5/2018,176.1100006,1339.599976,151.4560394,249.4700012,1046.27002,6914.26
2/12/2018,177.3600006,1448.689941,167.6493988,278.519989,1095.5,8891.2125
2/19/2018,183.2899933,1500,170.6342773,285.9299927,1128.089966,11159.7238
2/26/2018,176.6199951,1500.25,171.3246002,301.0499878,1084.140015,10313.0825
3/5/2018,185.2299957,1578.890015,174.9900513,331.4400024,1160.839966,11432.9825
3/12/2018,185.0899963,1571.680054,173.0844269,318.4500122,1134.420044,9118.2713
3/19/2018,159.3899994,1495.560059,160.3670349,300.9400024,1026.550049,8594.1913
3/26/2018,159.7899933,1447.339966,163.1283112,295.3500061,1037.140015,8138.3363
